cpu,freq,fan,load,temp
32.5,2.03,4024,262,71.0
32.7,1.97,4024,262,71.0
33.3,1.97,4024,262,72.0
33.2,1.93,4024,262,71.0
32.3,2.53,4024,262,71.0
34.6,3.1,4024,262,71.0
32.1,2.54,4024,262,71.0
32.6,2.08,4024,262,71.0
32.2,2.5,4024,262,70.0
35.0,1.92,4024,262,71.0
32.6,3.02,4024,262,71.0
32.3,2.57,4024,262,71.0
31.9,3.07,4024,262,71.0
33.7,3.12,4024,262,70.0
32.7,2.46,4024,262,72.0
34.1,2.58,4024,262,71.0
33.1,3.07,4024,262,71.0
32.9,2.52,4024,262,71.0
40.6,1.75,4024,261,68.0
16.8,1.5,4027,261,67.0
18.4,0.91,4027,261,65.0
17.5,1.71,4027,261,65.0
17.6,1.19,4031,261,66.0
16.2,1.04,4031,261,65.0
20.4,0.91,4034,261,66.0
18.6,0.95,4034,261,65.0
18.5,0.99,4031,261,64.0
18.0,1.15,4031,261,63.0
18.1,0.95,4031,261,63.0
17.1,1.01,4034,261,64.0
17.9,1.61,4031,261,62.0
16.3,0.92,4027,261,63.0
19.4,0.82,4027,261,62.0
18.4,0.87,4031,261,62.0
19.4,1.47,4027,261,62.0
17.7,1.01,4024,261,62.0
19.1,1.5,4024,261,62.0
19.7,1.49,4027,261,61.0
18.0,0.8,4027,261,61.0
19.2,0.82,4024,261,61.0
19.1,0.95,4024,261,60.0
19.0,0.86,4024,261,61.0
18.6,0.8,4024,261,60.0
19.4,1.51,4024,261,60.0
19.9,1.11,3984,261,62.0
18.9,1.14,3906,261,62.0
17.3,1.46,3747,261,60.0
20.3,0.99,3589,262,59.0
21.2,2.31,3536,262,61.0
25.3,1.49,3525,262,60.0
20.9,1.01,3515,262,59.0
35.4,1.59,3515,262,59.0
25.2,1.32,3515,260,60.0
20.6,1.45,3525,260,61.0
23.0,0.99,3517,260,60.0
20.3,0.84,3515,260,60.0
24.1,1.98,3517,260,62.0
34.6,3.05,3517,261,62.0
30.6,2.77,3517,263,63.0
17.4,1.67,3515,263,62.0
15.5,2.06,3517,263,62.0
16.4,1.8,3517,263,62.0
23.2,2.48,3515,261,64.0
77.3,2.84,3515,256,67.0
88.4,2.87,3515,256,68.0
88.7,2.89,3515,256,69.0
94.5,2.83,3515,256,69.0
68.8,3.01,3512,256,68.0
67.9,2.97,3512,256,69.0
61.5,2.94,3510,256,69.0
51.5,2.99,3510,256,69.0
48.5,1.75,3512,256,64.0
20.2,1.67,3512,256,65.0
18.4,0.9,3517,256,64.0
15.1,1.29,3520,256,64.0
18.5,0.8,3522,256,63.0
24.2,3.03,3525,259,68.0
33.9,2.06,3525,257,66.0
25.2,1.87,3522,256,64.0
19.8,1.45,3522,256,62.0
15.6,1.51,3522,256,63.0
17.3,1.54,3520,256,62.0
18.9,1.47,3520,256,63.0
19.5,0.88,3522,256,61.0
20.4,0.81,3525,256,61.0
18.2,1.11,3525,256,61.0
17.9,1.07,3522,256,63.0
18.2,0.9,3525,256,62.0
17.8,0.8,3525,256,61.0
17.9,0.96,3522,256,61.0
18.2,1.08,3520,256,62.0
19.0,1.19,3517,256,62.0
16.1,1.13,3517,256,62.0
16.4,1.01,3515,256,60.0
17.8,0.8,3515,256,60.0
17.1,1.04,3515,256,60.0
17.7,1.0,3515,256,60.0
16.0,1.46,3515,256,60.0
17.1,1.09,3515,256,59.0
17.7,1.06,3515,256,60.0
19.5,1.47,3515,256,60.0
16.8,1.44,3515,256,60.0
17.5,1.44,3515,256,59.0
18.0,1.51,3515,256,60.0
20.0,0.8,3515,256,59.0
17.7,1.22,3515,256,59.0
17.2,0.8,3515,256,59.0
17.3,0.87,3515,256,58.0
20.4,0.8,3515,256,59.0
18.5,0.83,3515,256,60.0
19.0,1.4,3515,256,58.0
19.5,1.58,3515,256,58.0
20.3,1.45,3515,256,58.0
17.9,0.99,3512,256,57.0
17.6,0.85,3512,256,58.0
17.4,0.9,3512,256,58.0
19.3,0.84,3512,256,58.0
17.9,0.85,3510,256,58.0
17.5,0.86,3512,256,57.0
19.1,1.43,3512,256,58.0
17.1,1.05,3510,256,58.0
19.6,2.84,3507,256,61.0
52.8,2.85,3505,256,64.0
48.0,2.83,3505,256,64.0
18.1,1.29,3505,256,58.0
20.5,1.21,3505,256,58.0
35.1,1.18,3507,256,60.0
23.3,1.46,3507,256,59.0
25.6,1.51,3510,254,58.0
24.9,1.07,3510,254,58.0
27.0,2.72,3512,255,61.0
39.3,1.58,3510,256,59.0
29.9,2.52,3507,256,62.0
96.7,2.66,3505,255,66.0
100.0,2.75,3502,255,66.0
100.0,2.72,3499,255,68.0
100.0,2.69,3515,255,68.0
60.4,2.9,3525,255,64.0
28.3,2.63,3536,255,65.0
24.2,2.59,3536,255,65.0
22.6,2.39,3536,255,66.0
25.4,2.74,3530,255,66.0
23.4,2.8,3530,255,67.0
25.6,2.78,3533,255,67.0
22.6,2.56,3533,255,65.0
23.5,2.94,3533,255,67.0
22.4,2.74,3533,255,67.0
26.1,2.74,3536,256,67.0
23.5,2.46,3536,256,67.0
25.0,2.42,3536,257,68.0
22.5,2.62,3578,257,67.0
25.3,2.66,3568,257,68.0
22.5,2.94,3536,256,68.0
26.4,2.53,3547,256,69.0
21.9,2.79,3536,256,69.0
22.8,2.46,3536,256,68.0
23.1,2.71,3547,256,69.0
24.2,2.84,3541,255,69.0
22.3,2.93,3541,255,70.0
22.9,2.84,3538,255,69.0
26.7,3.13,3541,255,70.0
24.9,2.55,3544,255,70.0
22.2,2.97,3541,255,69.0
24.4,2.71,3538,255,69.0
22.8,3.09,3541,255,70.0
24.0,3.07,3544,255,70.0
22.7,2.52,3544,255,70.0
22.4,2.54,3544,255,70.0
24.0,2.94,3546,255,70.0
23.6,2.98,3546,255,70.0
24.7,2.49,3546,255,69.0
21.0,2.59,3546,255,70.0
22.4,2.25,3546,255,70.0
21.0,2.24,3546,255,70.0
